je,it is
kajne,isn't it
danes,today
sploh,at all
hočem,I want to
tvoja,yours
vendar,however
življenje,life
jim,to them
hotel,the hotel
časa,time
let,year
mislil,thought
oprostite,excuse me
želim,i want
povedal,told
bolj,more
povej,say it
niti,not even
denar,money
tole,this one
dva,two
kam,where
hočeš,you want
eno,one
dogaja,happening
moramo,we have to
ljudje,people
zdravo,Hello
koliko,how much
naredil,did
skupaj,together
videti,to see
med,honey
bili,were
vidim,i see
nihče,nobody
ljudi,people
rekla,she said
mano,me
svojo,your own
spet,again
domov,home
ona,she
rada,she likes
počakaj,wait
tvoje,yours
tri,three
vedel,knew
niso,they are not
greva,let's go
noč,night
mora,must
nekdo,someone
poslušaj,listen
njim,to them
šel,went
stari,dude
tabo,to you
preveč,too much
čez,across
treba,need to
razumem,I understand
naprej,forward
hitro,quickly
proti,against
dobil,got
pomeni,means
greš,you go
narobe,wrong
imela,had
enkrat,once
dajmo,let's go
stran,away
bolje,better
dolgo,a long time
ena,one
stvar,thing
delo,work
iti,to go
dela,works
imate,you have
prekleto,damn it
skrbi,worries
vidiš,you see
tisti,those
fant,boy
veste,you know
nočem,I don't want to
ničesar,nothing
vsak,everyone
ubil,killed
avto,car
dokler,until
dve,two
morala,morality
en,one
tebi,to you
jutri,tomorrow
verjetno,probably
ok,ok
zate,for you
nimam,i don't have
mojo,mine
videla,she saw
celo,even
pod,under
konec,the end
živjo,hi
dal,gave
moreš,you can
preden,before
bodi,be
slišal,heard
moji,mine
delaš,you work
tisto,that
želiš,you want
ve,he knows
kakšen,what kind
pomoč,help
prijatelj,a friend
naju,us
šla,she went
pusti,leave it
povedati,to tell
fantje,boys
prišla,she came
i,i
nehaj,stop it
govori,speak
dobra,good
dol,down
oči,eyes
otrok,a child
glej,see
super,great
tja,there
našel,found
ravno,flat
reči,to say
nama,to us
kjer,where
vrata,door
vsaj,at least
glede,regarding
mesto,city
upam,I hope
očka,daddy
u,u
prej,earlier
imajo,they have
skozi,through
njo,her
doma,at home
leta,years
zame,for me
mojega,mine
pazi,watch out
kakšno,what kind
gospa,lady
morali,morality
dni,days
potrebujem,i need
trenutek,moment
drugega,another
včasih,sometimes
sin,son
koga,someone
točno,exactly
počneš,you do
govoriš,you speak
noter,inside
čem,what
nocoj,tonight
zdi,it seems
tvojo,yours
izgleda,looks like
čisto,clean
vaš,yours
drugi,others
ves,all
more,can
skoraj,almost
sama,alone
dekle,a girl
denarja,of money
storil,did
toliko,so much
poznam,i know
imeli,had
prvi,the first
pride,he comes
tej,this one
mrtev,dead
mislila,thought
svoj,own
morava,we have to
videli,seen
pet,Friday
vraga,hell
resno,seriously
prišli,came
hotela,of the hotel
pravkar,just now
težko,difficult
kakšna,what kind
odlično,excellent
misli,thoughts
zunaj,outside
govoriti,to speak
vsem,to everyone
vaše,yours
kmalu,soon
njega,him
vaša,yours
del,part
mož,husband
povem,I say
halo,hello
eden,one
raje,rather
adijo,bye
način,way
govoril,spoke
minut,minutes
poti,paths
slabo,bad
prepričan,convinced
roke,hands
svetu,the world
takrat,at that time
razumeš,you understand
svet,world
uspelo,succeeded
mami,to mom
glavo,the head
dr,dr
teh,those
povedala,she said
jutro,the morning
strani,pages
otroka,a child
našli,found
nekoga,someone
njegov,his
pravzaprav,actually
moški,men
umrl,died
njegovo,his
vseeno,anyway
vzemi,take it
čakaj,wait
gor,up
hudiča,the devil
ljubim,i love
tip,type
nima,doesn't have
draga,dear
nismo,we didn't
naš,ours
brat,brother
enega,one
mestu,place
življenja,life
naredila,did
ženska,a woman
dolarjev,dollars
jezus,Jesus
vedeti,to know
resnično,truly
govorim,i speak
narediti,to do
mislite,you think
vseh,everyone
bosta,they will be
drži,true
pol,half
naredi,do it
oni,they
karkoli,whatever
naše,ours
počasi,slowly
prihaja,is coming
svojega,your own
hoče,he wants
vedela,knew
lepa,beautiful
zanima,interested
kasneje,later
najbolj,the most
reci,say
pot,way
teden,week
njih,them
vzel,took
ju,them
mali,small
rit,ass
vrnil,returned
niste,you didn't
najprej,first of all
zjutraj,in the morning
pripravljen,ready
temu,to this
radi,like
gotovo,for sure
dajte,give it
žena,wife
problem,problem
razen,except
jack,Jack
delam,I'm working
verjeti,to believe
otroci,children
očeta,father
fanta,boy
mogel,could
želi,wants
notri,inside
pozabi,forget it
tvoji,yours
rekli,said
utihni,shut up
njegova,his
okoli,around
kateri,which one
vidimo,we see
drugače,differently
hišo,the house
pomembno,important
drugo,another
blizu,near
zares,for real
takega,such
ljubica,sweetheart
praviš,you say
miru,peace
dobila,got
srce,heart
nimaš,you don't have
mojbog,my god
e,e
obstaja,it exists
čudovito,wonderful
nami,us
poznaš,you know
nad,above
štiri,four
leto,year
očitno,obviously
priti,to come
vaju,you two
john,John
poglejte,take a look
verjamem,I believe
midva,the two of us
želel,wanted
pustil,left
popolnoma,completely
mar,Mar
živijo,they live
šlo,it went
leti,years
morate,you must
najbrž,probably
najboljši,the best
spomniš,you remember
oba,both of them
nato,then
dobili,get
primer,example
tak,like that
težave,problems
imeti,to have
new,new
vami,you
roko,hand
novo,new
ljubezen,love
dragi,dear
smešno,funny
velik,big
tvojega,yours
velika,big
prijatelja,a friend
ženske,women
ostani,stay
večer,the evening
izgubil,lost
sebi,to himself
vprašanje,a question
pridem,i will come
vidiva,see you
jasno,clear
poklical,called
malce,a little bit
odšel,gone away
delal,worked
ubiti,to kill
pridite,come on
čudno,strange
gospodje,gentlemen
živi,lives
pač,just
daleč,far away
sebe,yourself
pravijo,they say
smrt,death
precej,quite a lot
službo,a job
pištolo,a gun
naša,ours
pomagam,I help
teboj,to you
življenju,life
nikogar,nobody
vsega,everything
spravi,reconcile
najti,to find
kakor,like
šef,the boss
našla,found
pomagal,helped
rečem,I say
srečo,luck
prvič,for the first time
vama,to you
končno,finally
veseli,happy
storiti,to do
lep,beautiful
nisva,we are not
česa,what
dala,she gave
želite,you want
orožje,weapons
človeka,man
vso,everything
šest,six
naredili,have done
katero,which one
menoj,me
priložnost,opportunity
pojdite,go on
slišala,heard
sestra,sister
prava,right
mojem,mine
pomagati,to help
vemo,we know
naslednji,the next one
imava,we have
čeprav,although
punca,a girl
vesel,happy
veliki,big
prijatelji,friends
mamo,mom
pozabil,forgot
pomiri,calm down
igra,the game
hiši,the house
takole,like this
sobo,room
drug,another
krasno,great
mati,mother
postal,became
pokliči,call
potrebno,necessary
strah,fear
pomagaj,help me
druge,others
policija,the police
pravim,I say
ženo,wife
začel,started
dobim,i get
moremo,we can
otroke,children
poslal,sent
kakšne,what kind
šli,went
tiho,quietly
stoj,stand
edini,the only one
par,couple
smrti,of death
njej,to her
spusti,drop it
uro,an hour
odpri,open it
počutim,I feel
zgodi,happens
jebi,fuck it
zadnji,the last one
mojih,mine
spomnim,I remember
vsako,every one
govorila,spoke
sedi,sit down
obraz,face
moč,power
pripravljeni,ready
stara,old
pohiti,hurry up
zraven,next to it
oditi,to leave
tistega,that one
potrebuješ,you need
deset,ten
posel,business
sporočilo,message
tiste,those
li,li
ostali,the rest
neverjetno,unbelievable
kraj,place
počakajte,please wait
slišim,i hear
bojim,I'm afraid
vsa,all of them
prekleti,damn it
najboljše,the best
čaka,he is waiting
nekoč,once upon a time
načrt,plan
ostal,remained
njimi,them
mesta,cities
nate,on you
včeraj,yesterday
ur,ed
boljše,better
slišiš,you hear
njen,hers
bile,were
srček,sweetheart
manj,less
konca,the end
umrla,died
znam,i know
nobenega,none
tista,that one
koncu,the end
dne,day
vašo,yours
vidva,the two of you
svojih,of their own
gdč,miss
kolega,colleague
sobi,room
nor,crazy
prvo,the first
pustite,leave it
sveta,of the world
ljubi,loves
telefon,telephone
sina,son
zanj,for him
komaj,barely
nekje,somewhere
družino,family
pokaži,show
znaš,you know
sovražim,I hate it
naši,ours
vidite,you see
rabim,i need
cel,the whole
što,what
vprašal,he asked
delati,to work
družina,family
pravo,right
potrebuje,needs
ostati,to stay
vodo,water
svoji,own
žensko,a woman
poleg,besides
naredim,I do
ah,ah
potrebujemo,we need
enako,the same
ponovno,again
prideš,you come
njem,him
spoznal,met
povejte,tell me
doktor,doctor
poslušajte,listen
nekega,someone
občutek,feeling
dekleta,girls
izvoli,there you go
šolo,school
pes,a dog
rešil,solved
sanje,a dream
vrni,give it back
besede,words
nimamo,we don't have
piše,it says
njegove,his
film,movie
dame,ladies
star,old
noro,crazy
tom,tom
vidi,see
prepričana,convinced
odšla,left
tod,etc
nekako,somehow
gospodična,Miss
ustavi,stop
ubili,killed
predsednik,the president
isto,the same
medtem,meanwhile
zabavo,entertainment
zgodba,story
hiša,house
kri,blood
ideja,an idea
edina,the only one
kod,the code
prva,the first
živ,alive
ure,hours
kapitan,the captain
tokrat,this time
zadnje,the last
novi,new ones
hočete,you want
sami,themselves
ln,ln
sliši,hears
kaže,shows
zvečer,in the evening
kralj,the king
dobiti,to get
ostalo,the rest
dam,ladies
spoznala,met
name,on me
pripravljena,ready
poročila,reports
izgledaš,you look
noge,legs
boli,it hurts
smem,I can
moža,husband
katerega,which
kriv,guilty
mala,small
enostavno,easy
njeno,hers
vredu,all right
prinesel,brought
spodaj,below
pojdiva,let's go
reče,he says
času,time
pijačo,a drink
george,George
večerjo,dinner
vodi,leads
čim,as soon as possible
pokazal,showed
charlie,Charlie
dali,gave
prostor,space
storila,did
šta,what
frank,frank
svojim,their own
mogla,could
šoli,school
novega,the new one
božič,Christmas
letih,years
briga,don't care
deluje,it works
bogu,to god
številka,number
prišlo,came
nov,Nov
slišali,heard
hrano,food
mrtva,dead
pojdimo,let's go
slišati,to hear
hiše,houses
srečen,happy
ostala,the rest
obljubim,I promise
joe,joe
brata,brothers
kupil,bought
zagotovo,for sure
uh,ugh
nobene,none
zgleda,looks like
ogenj,fire
resnico,the truth
šele,just now
david,David
ha,ha
mimo,past
zadaj,behind
resnici,to the truth
grozno,terrible
sabo,yourself
začela,started
stric,uncle
sinoči,last night
tvojih,yours
možnosti,options
ter,and
vedeli,knew
glavni,the main one
sedem,seven
druga,the second
želela,jelly
odkar,since
dobiš,you get
sicer,otherwise
končal,finished
michael,michael
policijo,the police
izmed,among
dobre,good ones
nikar,not at all
pojma,concept
tla,floor
pomaga,it helps
močno,strongly
mike,Mike
sledi,follows
pustila,left
dom,home
zadnja,the last one
srečno,good luck
nekateri,some of them
vode,of water
napad,attack
zakon,the law
namesto,instead of
dati,to give
trenutno,currently
preprosto,simply
važno,important
živeti,to live
ura,an hour
vrniti,to return
vrsti,species
dobri,good ones
kreten,jerk
ubila,killed
harry,harry
vstani,get up
hodi,walks
dobrodošli,welcome
plačal,paid
njegovi,his
preko,via
smeš,you laugh
kakorkoli,anyway
nočeš,you don't want to
pesem,a song
zabavno,fun
katere,which
nje,her
zgoraj,above
kristus,christ
zgodbo,the story
vaši,yours
vrnila,returned
vzela,took
naučil,learned
vedo,they know
nobenih,none
letalo,the plane
možnost,option
voljo,willing
noče,he doesn't want to
kom,Comm
poskusi,give it a try
tale,this one
naravnost,straight up
morajo,they have to
razlog,the reason
bedak,fool
igral,played
škoda,it's a shame
osebno,personally
vrnem,I return
pozdravljeni,hello
posteljo,the bed
dveh,two
poveš,you say
hitreje,faster
hoteli,hotels
general,general
pozna,knows
povsod,everywhere
umakni,withdraw
psa,a dog
njena,hers
temi,dark
našo,ours
hudo,badly
kavo,coffee
bob,Bob
levo,to the left
zadnjič,last time
primeru,example
pozneje,later
the,the
zase,for myself
tisoč,thousand
greste,you go
številko,number
vrat,neck
oseba,a person
dobi,get
nova,new
knjigo,a book
jimmy,jimmy
hočejo,they want
čutim,I feel it
nemogoče,impossible
dosti,enough
razumel,understood
katera,which one
uslugo,a favor
velja,is valid
okrog,around
mesec,month
mojim,mine
prisežem,I swear
njemu,to him
gledal,watched
majhen,small
mirno,calmly
proč,away
smel,allowed
noči,nights
počne,does
poklicala,called
verjameš,you believe
najlepša,the most beautiful
pogovoriti,to discuss
morete,you can
potreboval,needed
umreti,to die
sigurno,for sure
zabava,party
j,j
pivo,beer
igrati,to play
odgovor,the answer
povsem,completely
zna,knows
prihajam,i'm coming
imenu,name
m,m
kadar,when
desno,right
darilo,a gift
nikomur,to no one
nove,new ones
mary,mary
osem,eight
padel,fell
avtu,to the car
glavi,head
živel,lived
komu,to whom
su,are
d,d
pustiti,to leave
take,such
najboljša,the best
nista,they are not
tvojem,yours
slab,bad
koli,whatever
svojem,his own
pokličem,I'll call
nora,crazy
telo,the body
mesecev,months
glas,voice
pismo,a letter
boljši,better
b,b
ustrelil,shot
delala,worked
družine,families
igro,the game
mir,peace
klical,called
smer,direction
problema,problems
iščem,I'm looking for
izgubili,lost
moči,power
paul,paul
velike,big ones
delajo,they work
boga,God
skrivnost,secret
neki,some
jajca,eggs
pripeljal,brought
stavim,I bet
težav,problems
tipa,type
storili,did
ben,Ben
starši,parents
mislijo,they think
živali,animals
james,James
morilec,the killer
drek,shit
ljubezni,of love
krvi,blood
ključ,the key
bodite,be
l,l
vašega,yours
kul,cool
ce,ce
trije,three
govorite,you speak
riti,ass
tamle,over there
nikamor,nowhere
imena,names
dvakrat,twice
peter,peter
tv,TV
t,t
varno,safely
srečna,happy
pomagajte,please help
zbudi,wake up
boj,fight
policaj,a policeman
obleko,dress
dobrega,good
delaj,work
vojno,war
povedali,told
čestitam,congratulations
zanimivo,interesting
isti,the same
najbolje,the best
počutiš,you feel
naših,ours
zapri,close it
napisal,wrote
nek,someone
neke,some
poskušal,tried
ovo,this
drugih,others
avta,car
milijonov,million
menda,I guess
polno,full
vrste,species
mnogo,a lot
verjemi,believe me
prevod,translation
sa,with
stanovanje,apartment
prinesi,bring
sistem,system
gospoda,sir
čakam,I'm waiting
sekund,seconds
tistih,those
alex,Alex
moti,it disturbs
soba,room
čast,honor
zrak,air
sme,may
zapustil,left
poskrbel,took care of
razumete,you understand
max,max
slike,pictures
začeli,started
ljudem,to people
ray,Ray
prosil,begged
spremenil,changed
taka,like that
preživel,survived
ples,dance
ostane,remains
poslali,sent
klic,the call
nije,it didn't
storim,I do
kolikor,as much as
čudovita,wonderful
pravila,the rules
postala,became
nick,nick
rojstni,birthday
postaja,the station
besedo,a word
prihajajo,they are coming
punce,girls
spravil,put it together
prekleta,cursed
mrtvi,the dead
ekipa,the team
